,Kanji,Number (KANJIDIC),Heisig RTK1/3,JIS,KanKen (Jun1=1.5) (Jun2=2.5),strokes,Kana,English
,弓,531,1231,355D,9,3,キュウ    ゆみ    Name Readings:  こ    ゆ    ,"bow, bow (archery, violin) "
,引,90,1232,307A,9,4,イン    ひ.く    ひ.き    ひ.き-    -び.き    ひ.ける    Name Readings:  いな    ひき    ひけ    びき    ,"pull, tug, jerk, admit, install, quote, refer to "
,弟,1959,1240,446F,9,7,テイ    ダイ    デ    おとうと    Name Readings:  て    ,"younger brother, faithful service to elders "
,弱,1197,1236,3C65,9,10,ジャク    よわ.い    よわ.る    よわ.まる    よわ.める    ,"weak, frail "
,強,579,1235,362F,9,11,キョウ    ゴウ    つよ.い    つよ.まる    つよ.める    し.いる    こわ.い    Name Readings:  すね    ,strong 
,当,2060,1153,4576,9,6,トウ    あ.たる    あ.たり    あ.てる    あ.て    まさ.に    まさ.にべし    Name Readings:  たい    ,"hit, right, appropriate, himself "
,形,691,1711,3741,9,7,ケイ    ギョウ    かた    -がた    かたち    なり    Name Readings:  ち    ,"shape, form, style "
,後,821,1379,3865,9,9,ゴ    コウ    のち    うし.ろ    うしろ    あと    おく.れる    Name Readings:  こし    し    しい    しり    ,"behind, back, later "
,心,1430,595,3F34,9,4,シン    こころ    -ごころ    T2りっしんべん    ,"heart, mind, spirit "
,思,1089,605,3B57,9,9,シ    おも.う    おもえら.く    おぼ.す    ,think 
,戸,797,1076,384D,9,4,コ    と    Name Readings:  え    へ    T2とびらのと    ,door 
,才,985,681,3A4D,9,3,サイ    ,"genius, years old, cubic shaku "
,教,585,1254,3635,9,11,キョウ    おし.える    おそ.わる    Name Readings:  のり    ひさ    ,"teach, faith, doctrine "
,数,1494,929,3F74,9,13,スウ    ス    サク    ソク    シュ    かず    かぞ.える    しばしば    せ.める    わずらわ.しい    Name Readings:  じゅ    ,"number, strength, fate, law, figures "
,新,1433,1502,3F37,9,13,シン    あたら.しい    あら.た    あら-    にい-    Name Readings:  あせ    あたらし    し    に    にっ    につ    よし    ,new 
,方,2537,490,4A7D,9,4,ホウ    かた    -かた    -がた    Name Readings:  から    な    なた    ふさ    まさ    みち    も    わ    ,"direction, person, alternative "
,明,2664,20,4C40,9,8,メイ    ミョウ    ミン    あ.かり    あか.るい    あか.るむ    あか.らむ    あき.らか    あ.ける    -あ.け    あ.く    あ.くる    あ.かす    Name Readings:  あきら    あけ    あす    きら    け    さや    さやか    とし    はる    み    め    ,"bright, light "
,星,1521,1556,4031,9,9,セイ    ショウ    ほし    -ぼし    ,"star, spot, dot, mark "
,春,1275,1568,3D55,9,9,シュン    はる    Name Readings:  あずま    かす    すの    ひ    わら    ,"springtime, spring (season) "
,昼,1861,1075,436B,9,9,チュウ    ひる    ,"daytime, noon "
,時,1128,159,3B7E,9,10,ジ    とき    -どき    Name Readings:  と    とぎ    ,"time, hour "
,晴,1522,1538,4032,9,12,セイ    は.れる    は.れ    は.れ-    -ば.れ    は.らす    Name Readings:  はる    はれ    ,clear up 
,曜,2769,576,4D4B,9,18,ヨウ    Name Readings:  てる    ,weekday 
,書,1303,327,3D71,9,10,ショ    か.く    -が.き    -がき    Name Readings:  かき    ,write 
,朝,1891,52,442B,9,12,チョウ    あさ    Name Readings:  あ    あそ    ささ    ちか    とも    ,"morning, dynasty, regime, epoch, period, (North) Korea "
,来,2798,1884,4D68,9,7,ライ    タイ    く.る    きた.る    きた.す    き.たす    き.たる    き    こ    Name Readings:  くり    くる    ごろ    さ    ,"come, due, next, cause, become "
,東,2050,504,456C,9,8,トウ    ひがし    Name Readings:  あい    あがり    あずま    あづま    こ    さき    しの    とお    はる    ひが    もと    ,east 
,楽,340,1735,335A,9,13,ガク    ラク    ゴウ    たの.しい    たの.しむ    この.む    Name Readings:  さ    た    やす    ら    ,"music, comfort, ease "
,歌,234,469,324E,9,14,カ    うた    うた.う    ,"song, sing "
,止,1097,370,3B5F,9,4,シ    と.まる    -ど.まり    と.める    -と.める    -ど.め    とど.める    とど.め    とど.まる    や.める    や.む    -や.む    よ.す    -さ.す    -さ.し    Name Readings:  どめ    ,"stop, halt "
,歩,2510,371,4A62,9,8,ホ    ブ    フ    ある.く    あゆ.む    Name Readings:  あ    ゆき    ゆみ    ,"walk, counter for steps "
,母,2520,101,4A6C,9,5,ボ    はは    も    ,"mama, mother "
,毎,2610,458,4B68,9,6,マイ    ごと    -ごと.に    Name Readings:  つね    ,every 
,毛,2683,1913,4C53,9,4,モウ    け    Name Readings:  めん    も    ,"fur, hair, feather, down "
,池,1837,516,4353,9,6,チ    いけ    ,"pond, cistern, pool, reservoir "
,汽,475,1886,3525,9,7,キ    ,"vapor, steam "
,活,354,143,3368,9,9,カツ    い.きる    い.かす    い.ける    ,"lively, resuscitation, being helped, living "
,海,286,461,3324,9,9,カイ    うみ    Name Readings:  あ    あま    うな    うん    え    か    た    ひろ    ひろし    ぶ    まち    まま    み    め    わたる    ,"sea, ocean "
,点,2006,169,4540,9,9,テン    つ.ける    つ.く    た.てる    さ.す    とぼ.す    とも.す    ぼち    ,"spot, point, mark, speck, decimal point "
,父,2417,1274,4963,9,4,フ    ちち    ,father 
,牛,547,245,356D,9,4,ギュウ    うし    Name Readings:  うじ    ご    ,cow 
,理,2819,265,4D7D,9,11,リ    ことわり    Name Readings:  あや    おさむ    さと    さとる    ただ    ただし    とおる    に    のり    ひ    まこと    まさ    まさし    まろ    みち    よし    ,"logic, arrangement, reason, justice, truth "
,用,2775,1181,4D51,9,5,ヨウ    もち.いる    Name Readings:  たから    ,"utilize, business, service, use, employ "
,画,260,1170,3268,9,8,ガ    カク    エ    カイ    えが.く    かく.する    かぎ.る    はかりごと    はか.る    ,"brush-stroke, picture "
,番,2310,1909,4856,9,12,バン    つが.い    Name Readings:  は    ま    ,"turn, number in a series "
,直,1910,73,443E,9,8,チョク    ジキ    ジカ    ただ.ちに    なお.す    -なお.す    なお.る    なお.き    す.ぐ    Name Readings:  すぐ    なお    のう    のお    ,"straightaway, honesty, frankness, fix, repair "
